,id,name,price,top_tags
0,A000000140146,보타닉힐보 더마 인텐시브 시카 판테놀 블레미쉬 크림 TOP 기획,"22,400",복합성 웜톤 트러블 모공 잡티 블랙헤드 
1,A000000130232,"피지오겔 DMT 데일리보습 페이셜 크림 150ml 기획(+레드수딩 로션10ml*2ea,크림 10ml*2ea증정)","27,800",건성 쿨톤 블랙헤드 모공 탄력 잡티 
2,A000000114129,닥터지 레드블레미쉬클리어수딩크림 증량 UP 기획세트,"25,200",복합성 웜톤 트러블 모공 민감성 블랙헤드 
3,A000000016865,라로슈포제 시카플라스트 밤 B5 100ml 기획,"22,400",복합성 웜톤 잡티 트러블 민감성 모공 
4,A000000128754,리얼베리어 익스트림 크림 50ml 기획(익스트림 크림 10ml*2ea 증정),"23,940",복합성 웜톤 잡티 트러블 민감성 모공 
5,A000000142587,닥터지 로얄 블랙스네일 크림 한정기획 (크림50mL+오팔오로라보석마사저) #홈케어 #탄력마사저,"29,400",건성 웜톤 모공 미백 탄력 잡티 
6,A000000141910,라운드랩 자작나무 수분 크림 1+1 기획,"32,000",복합성 웜톤 잡티 모공 민감성 트러블 
7,A000000141651,닥터자르트 세라마이딘 크림 기획(크림 50ml+리퀴드 31ml),"34,200",지성 쿨톤 트러블 블랙헤드 피지과다 민감성 
8,A000000135675,[New]시칼파트 플러스 S.O.S 크림 40ml 2입기획 #손상개선 #시카크림,"23,170",복합성 쿨톤 트러블 모공 잡티 블랙헤드 
9,A000000131012,셀퓨전씨 레이저 리쥬버네이션 크림 기획 (50ml+10ml),"9,900",복합성 웜톤 트러블 잡티 모공 민감성 
10,A000000117495,닥터자르트 시카페어 카밍 젤 크림 80ml (시카 젤크림),"28,000",복합성 웜톤 모공 트러블 블랙헤드 잡티 
11,A000000013433,유세린 하이알루론 나이트 크림 50ml (+나이트크림 20ml 증정) #보습탄력,"44,000",복합성 쿨톤 주름 각질 트러블 블랙헤드 
12,A000000137692,아벤느 고보습 세트(트릭세라 로션*2+클렌징젤),"24,000",복합성 쿨톤 모공 잡티 미백 피지과다 
13,A000000125747,닥터자르트 시카페어 겟그린 겟베러 크림 기획,"43,200",복합성 웜톤 트러블 잡티 민감성 모공 
14,A000000012755,피지오겔 DMT 인텐시브크림 100ml,"27,800",복합성 웜톤 민감성 블랙헤드 모공 미백 
